# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
    15.90%  program  libc.so.6                     [.] _int_free
    14.59%  program  program                       [.] std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>
    10.35%  program  libc.so.6                     [.] malloc
     6.75%  program  libc.so.6                     [.] _int_malloc
     6.49%  program  libc.so.6                     [.] cfree@GLIBC_2.2.5
     5.67%  program  program                       [.] Convolution_layer::convolution_parameters
     4.44%  program  libc.so.6                     [.] __memmove_avx_unaligned_erms
     3.35%  program  [unknown]                     [k] 0xffffffff9a600158
     3.30%  program  program                       [.] Softmax_layer::BackPropagation
     2.93%  program  program                       [.] Pooling_layer::BackPropagation
     2.84%  program  program                       [.] Pooling_layer::Pooling_parameters
     2.71%  program  program                       [.] Softmax_layer::Softmax_start
     2.57%  program  libstdc++.so.6.0.29           [.] operator new
     2.04%  program  libgomp.so.1.0.0              [.] gomp_barrier_wait_end
     1.74%  program  libc.so.6                     [.] malloc_consolidate
     1.70%  program  program                       [.] Convolution_layer::BackPropagation
     1.21%  program  program                       [.] operator delete@plt
     1.19%  program  libgomp.so.1.0.0              [.] gomp_team_barrier_wait_end
     1.04%  program  [unknown]                     [k] 0xffffffff9a6010a7
     0.87%  program  program                       [.] operator new@plt
     0.86%  program  libc.so.6                     [.] unlink_chunk.constprop.0
     0.78%  program  program                       [.] memmove@plt
     0.65%  program  program                       [.] std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>
     0.61%  program  libstdc++.so.6.0.29           [.] operator delete
     0.54%  program  libstdc++.so.6.0.29           [.] operator delete
     0.32%  program  ld-linux-x86-64.so.2          [.] do_lookup_x
     0.31%  program  libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.20%  program  libjpeg.so.8.2.2              [.] jpeg_make_d_derived_tbl
     0.19%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020d88
     0.19%  program  program                       [.] Data::create_canal
     0.15%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020d97
     0.12%  program  libgomp.so.1.0.0              [.] gomp_iter_dynamic_next
     0.11%  program  libc.so.6                     [.] __memset_avx2_unaligned_erms
     0.10%  program  libc.so.6                     [.] alloc_perturb
     0.10%  program  libjpeg.so.8.2.2              [.] 0x0000000000022858
     0.08%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020d9b
     0.08%  program  libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.07%  program  libjpeg.so.8.2.2              [.] 0x000000000002283a
     0.07%  program  libjpeg.so.8.2.2              [.] 0x000000000002280a
     0.06%  program  libjpeg.so.8.2.2              [.] 0x000000000002282b
     0.05%  program  libjpeg.so.8.2.2              [.] jpeg_read_scanlines
